category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Software,77500,operating,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12
E-Commerce,1000000,operating,ROM,36,Timisoara,Timisoara,2,2008-01-01,2010-01-01,2015-06-16
Software,378812,operating,GBR,C3,London,Cambridge,1,2013-01-01,2014-03-18,2014-03-18
E-Commerce,-,acquired,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-04-05,2012-04-05
Advertising,5500000,operating,USA,CA,SF Bay Area,San Francisco,2,2010-01-11,2009-07-01,2011-04-28
Advertising,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05
Software,3400000,operating,USA,CA,SF Bay Area,San Francisco,3,2011-05-01,2012-01-01,2014-10-02
Software,199957,operating,USA,WA,Seattle,Seattle,1,2006-01-01,2009-06-11,2009-06-11
Software,14000000,acquired,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16
Clean Technology,5000000,closed,USA,CA,SF Bay Area,San Francisco,1,2008-11-01,2010-02-11,2010-02-11
Advertising,40000,operating,DNK,17,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04
Curated Web,43811,closed,AUS,2,Sydney,Newcastle,2,2009-08-26,2009-05-01,2009-10-01
Software,1450000,operating,USA,WA,Seattle,Seattle,1,2010-01-01,2013-04-22,2013-04-22
E-Commerce,117000000,operating,USA,NY,New York City,New York,5,2001-01-01,2011-11-03,2015-09-09
E-Commerce,750000,operating,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01
Analytics,4000000,operating,USA,CA,SF Bay Area,San Jose,3,2011-12-01,2013-07-02,2015-08-13
Biotechnology,4345427,operating,USA,MD,"Washington, D.C.",Rockville,3,2000-05-01,2012-09-25,2015-10-30
Mobile,29750000,operating,IRL,23,IRL - Other,Cree,1,2006-09-01,2008-07-04,2008-07-04
Curated Web,1236454,operating,ITA,20,Roncade,Roncade,3,2012-01-01,2012-11-15,2014-06-01
Advertising,50000,closed,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01
E-Commerce,6369507,operating,IND,10,New Delhi,Gurgaon,1,2012-06-01,2012-11-15,2012-11-15
Software,396000000,ipo,CHN,22,Beijing,Beijing,5,2009-10-16,2008-02-13,2014-12-04
Biotechnology,15034750,ipo,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18
Software,1610541,operating,CHN,23,Shanghai,Shanghai,2,2005-09-01,2010-05-01,2010-10-01
Biotechnology,227049900,operating,USA,CA,SF Bay Area,Mountain View,8,2006-04-01,2005-11-02,2015-07-03
Advertising,-,closed,FRA,A8,Paris,Paris,1,2006-01-01,2006-08-01,2006-08-01
Clean Technology,16000000,operating,USA,MD,Salisbury,Cambridge,1,2010-01-01,2010-08-16,2010-08-16
Software,50000,closed,USA,NY,"Rochester, New York",Rochester,1,2010-01-01,2011-05-24,2011-05-24
Software,2942768.889,operating,ESP,29,Madrid,Madrid,3,2010-08-07,2010-10-20,2013-05-15
Software,300000,operating,USA,IN,Indianapolis,Indianapolis,2,2012-01-01,2012-09-01,2014-03-01
Software,2000000,operating,CHN,22,Beijing,Beijing,1,2004-01-01,2004-12-01,2004-12-01
Software,-,operating,USA,CA,SF Bay Area,Stanford,1,2011-01-01,2012-11-06,2012-11-06
E-Commerce,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17
Software,6785876,operating,CAN,ON,Toronto,Toronto,1,2008-01-01,2010-08-25,2010-08-25
E-Commerce,72000000,operating,USA,OH,"Columbus, Ohio",Columbus,2,1999-01-01,2014-07-16,2015-09-15
Software,383000,operating,AUS,4,Brisbane,Brisbane,2,2010-07-01,2010-04-01,2012-10-10
Mobile,165000000,operating,NZL,E7,Auckland,Auckland,1,2009-01-01,2013-06-18,2013-06-18
Software,275000,operating,USA,TX,Dallas,Plano,1,2008-01-01,2010-04-09,2010-04-09
Curated Web,966728,operating,BEL,1,Brussels,Bel,2,2011-05-01,2011-08-08,2012-11-09
Software,85000000,acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30
Advertising,6000,operating,USA,CA,Sacramento,Elk Grove,1,2013-09-13,2014-09-13,2014-09-13
Curated Web,2300000,operating,USA,CA,SF Bay Area,Dublin,1,2010-08-01,2014-10-15,2014-10-15
E-Commerce,80000,operating,CAN,BC,Vancouver,Vancouver,1,2012-01-25,2011-06-01,2011-06-01
Biotechnology,128477567,operating,USA,CA,SF Bay Area,Menlo Park,7,2007-03-01,2007-05-22,2015-03-17
Apps,25000,operating,USA,NJ,Newark,Clifton,1,2013-04-01,2013-05-20,2013-05-20
E-Commerce,2274716,operating,GBR,H9,London,London,1,2012-07-01,2014-03-01,2014-03-01
Advertising,25654560,operating,USA,NY,New York City,New York,5,2007-09-01,2009-02-06,2012-07-19
Curated Web,-,operating,CZE,52,Prague,Prague,1,2007-01-01,2007-12-01,2007-12-01
Biotechnology,5000000,operating,CHN,23,Shanghai,Shanghai,1,2000-01-01,2009-06-01,2009-06-01
Biotechnology,1000000,operating,USA,GA,Atlanta,Atlanta,2,2005-01-01,2011-11-01,2013-01-01
Software,7650000,operating,CAN,ON,Toronto,Whitby,1,2008-01-01,2013-01-15,2013-01-15
Mobile,1600000,operating,USA,MA,Boston,Quincy,1,2010-01-01,2012-01-13,2012-01-13
Biotechnology,133620,operating,ITA,6,Bolzano,Bolzano,1,2008-01-01,2011-01-01,2011-01-01
Enterprise Software,7289000,acquired,USA,CA,SF Bay Area,San Mateo,3,2010-01-01,2009-12-22,2012-07-01
Biotechnology,1465000,operating,USA,MI,Detroit,Ann Arbor,2,2010-01-01,2009-10-05,2013-02-05
Software,909940,operating,USA,MN,Minneapolis,Minneapolis,3,2010-01-01,2011-01-21,2013-07-25
Software,169500000,ipo,USA,SC,SC - Other,Rock Hill,3,1986-01-01,2014-01-15,2014-10-13
E-Commerce,400000,operating,USA,CA,SF Bay Area,Redwood City,1,2009-02-06,2014-10-12,2014-10-12
E-Commerce,1250000,operating,USA,FL,Ft. Lauderdale,Lauderhill,1,1997-05-01,2010-01-01,2010-01-01
Software,2249999,acquired,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2012-03-30,2014-04-02
Mobile,746185,operating,CHN,22,Beijing,Beijing,2,2005-07-01,2006-03-01,2007-02-01
Software,-,operating,USA,AR,Fayetteville,Fayetteville,1,2007-02-01,2009-09-17,2009-09-17
Software,1011601,operating,USA,MA,Boston,Cambridge,3,2007-01-01,2010-02-08,2011-10-21
Mobile,1394250,operating,FRA,B8,Nice,Mougins,1,2005-01-01,2008-11-14,2008-11-14
Biotechnology,7063012,operating,USA,CA,SF Bay Area,San Francisco,4,2011-01-01,2011-08-31,2014-12-05
Software,1670000,operating,USA,CA,SF Bay Area,Santa Clara,1,2013-08-15,2015-04-15,2015-04-15
Clean Technology,15000000,acquired,USA,WA,Seattle,Seattle,3,1999-01-01,2007-09-05,2010-02-25
Software,272000,closed,IRL,29,IRL - Other,Athlone,1,2003-01-01,2007-05-01,2007-05-01
Mobile,-,operating,USA,CO,CO - Other,Yellow Jacket,1,2013-05-06,2015-09-03,2015-09-03
E-Commerce,2374979,operating,USA,WA,WA - Other,Stevenson,6,2009-04-01,2011-07-01,2015-03-09
Enterprise Software,-,operating,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2013-02-21,2014-05-16
Software,1000000,operating,USA,GA,Atlanta,Tucker,1,2004-01-01,2010-06-15,2010-06-15
Software,1000000,operating,USA,WA,Seattle,Woodinville,1,2006-01-01,2013-01-17,2013-01-17
Advertising,-,operating,CHE,25,Zurich,Zürich,2,2011-05-24,2011-09-12,2014-02-09
Biotechnology,49656999,operating,USA,MA,Boston,Watertown,5,2011-01-01,2012-02-14,2015-06-19
Software,-,closed,USA,CA,SF Bay Area,San Jose,1,2006-08-01,2007-09-10,2007-09-10
Analytics,-,operating,USA,IL,Chicago,Chicago,1,2011-01-01,2014-01-21,2014-01-21
Clean Technology,20900,operating,USA,SC,Myrtle Beach,Conway,1,2005-01-01,2013-10-07,2013-10-07
Biotechnology,6999995,operating,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2015-08-13,2015-08-13
Biotechnology,500000,operating,CAN,NS,Halifax,Halifax,1,2008-01-01,2015-11-20,2015-11-20
Mobile,3378975,acquired,USA,VA,"Washington, D.C.",Herndon,1,2005-01-01,2011-12-12,2011-12-12
Mobile,10000000,operating,CHN,30,Guangzhou,Guangzhou,1,2011-03-01,2012-02-01,2012-02-01
Apps,50000,operating,USA,CA,SF Bay Area,Stanford,1,2012-01-01,2013-08-26,2013-08-26
Biotechnology,7000000,operating,USA,MA,Boston,Waltham,1,2011-01-01,2011-12-21,2011-12-21
Advertising,1121078,operating,GBR,N5,Sunderland Bridge,Sunderland Bridge,4,2010-03-10,2011-03-10,2013-08-15
Software,250000,operating,USA,NC,Raleigh,Morrisville,1,2004-01-01,2010-07-14,2010-07-14
Software,740000,operating,USA,NY,New York City,New York,2,2012-01-01,2012-03-29,2013-01-08
E-Commerce,12900000,acquired,USA,CA,SF Bay Area,San Francisco,6,2010-01-01,2009-12-15,2013-03-12
Apps,22325000,operating,CAN,ON,Toronto,Toronto,7,2009-10-01,2011-06-03,2015-07-21
Software,27000000,operating,CHN,23,Shanghai,Shanghai,3,2005-01-01,2006-05-01,2007-07-01
E-Commerce,9300000,operating,CHN,2,CHN - Other,Jinhua,3,2002-11-01,2004-03-01,2007-12-01
E-Commerce,200000000,operating,CHN,22,Beijing,Beijing,2,2010-03-15,2010-12-01,2011-07-01
Curated Web,876780000,ipo,CHN,19,CHN - Other,Chaoyang,6,2005-01-01,2006-02-01,2014-06-27
Mobile,5100000,operating,GBR,H9,London,London,1,2011-01-01,2014-06-12,2014-06-12
Mobile,6100000,ipo,USA,WA,Seattle,Seattle,2,2008-01-01,2013-11-12,2014-11-17
Apps,-,acquired,USA,CA,SF Bay Area,San Francisco,1,2012-01-01,2013-02-28,2013-02-28
Software,50000,operating,USA,CO,Denver,Boulder,1,2006-01-01,2013-05-14,2013-05-14
Advertising,250000,operating,USA,NY,New York City,New York,1,2012-07-04,2012-09-02,2012-09-02
Mobile,7000000,acquired,USA,CA,SF Bay Area,San Francisco,1,2008-01-01,2008-06-13,2008-06-13
Advertising,17129760,acquired,USA,WA,Seattle,Seattle,4,2009-01-01,2009-06-17,2010-11-10
Software,3050000,acquired,USA,IL,Chicago,Chicago,3,2013-01-01,2014-06-20,2014-10-20
Enterprise Software,37143865,operating,USA,NC,Raleigh,Raleigh,5,2008-01-01,2010-08-23,2015-07-02
Mobile,1000000,operating,CHN,22,Beijing,Beijing,2,2013-06-01,2014-01-01,2014-08-01
Software,6700000,acquired,USA,NC,Raleigh,Morrisville,2,2004-01-01,2005-11-11,2007-01-31
Analytics,6528902,closed,USA,TX,Austin,Austin,3,2006-01-01,2009-02-09,2012-07-13
Biotechnology,1613014,operating,USA,SC,Greenville - Spartanburg,Easley,1,1997-01-01,2011-06-06,2011-06-06
Analytics,2450000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,5,2011-03-03,2012-03-20,2014-06-08
Analytics,190035,operating,FIN,13,Helsinki,Espoo,1,2012-01-01,2014-10-23,2014-10-23
E-Commerce,3107198,operating,CHN,22,Beijing,Beijing,1,2011-06-03,2011-08-01,2011-08-01
Advertising,1500000,operating,USA,NY,New York City,New York,2,2011-11-01,2011-10-26,2012-09-01
Curated Web,650000,closed,NZL,G2,Wellington,Wellington,1,2010-05-25,2011-03-01,2011-03-01
Clean Technology,16036000,operating,USA,MA,Boston,Beverly,6,2009-01-01,2011-12-13,2015-06-26
Software,1017470,operating,USA,WA,Seattle,Seattle,3,2013-01-01,2013-10-28,2015-08-14
Analytics,3000000,operating,USA,NY,New York City,New York,1,2012-01-01,2015-08-26,2015-08-26
E-Commerce,100000,operating,USA,MD,"Washington, D.C.",Southern Md Facility,1,2012-01-01,2013-02-19,2013-02-19
Curated Web,-,operating,USA,CA,SF Bay Area,San Francisco,1,2006-06-01,2006-01-01,2006-01-01
Advertising,140000,operating,GBR,H9,London,London,2,2013-02-01,2014-02-01,2014-07-01
Analytics,-,operating,TUR,34,Istanbul,Istanbul,2,2012-01-03,2012-06-01,2013-11-28
E-Commerce,-,operating,USA,CA,Los Angeles,Los Angeles,1,2013-01-01,2013-08-01,2013-08-01
Apps,100000,operating,ISR,5,Tel Aviv,Tel Aviv,1,2013-06-30,2013-09-01,2013-09-01
Mobile,30000000,acquired,CHN,3,Fuzhou Shi,Fuzhou Shi,1,2010-09-01,2011-12-01,2011-12-01
Mobile,1000000,operating,IND,10,New Delhi,Gurgaon,1,2010-01-01,2014-10-29,2014-10-29
Mobile,10450000,operating,USA,CA,SF Bay Area,Mountain View,3,2010-11-01,2011-01-08,2013-10-23
E-Commerce,83574271,acquired,CHN,23,Shanghai,Shanghai,5,2005-01-01,2005-08-12,2012-12-14
E-Commerce,100000,operating,USA,CA,SF Bay Area,Mountain View,1,2012-06-01,2014-11-01,2014-11-01
Apps,442943,operating,BRA,27,Sao Paulo,São Paulo,1,2013-10-01,2014-08-19,2014-08-19
E-Commerce,20000,operating,IND,9,Vadodara,Vadodara,1,2012-03-20,2012-09-01,2012-09-01
Software,210000,operating,IND,19,Bangalore,Bangalore,3,2011-02-14,2010-12-01,2013-07-22
E-Commerce,-,closed,CHN,23,Shanghai,Shanghai,1,2005-01-01,2010-08-23,2010-08-23
E-Commerce,9600000,operating,CHN,23,Shanghai,Shanghai,2,2005-03-01,2005-01-01,2008-01-01
Advertising,1432051,operating,KOR,11,Seoul,Seoul,3,2011-10-01,2012-02-17,2013-01-16
Software,900000,operating,USA,WA,Seattle,Seattle,1,2013-01-01,2013-11-04,2013-11-04
Software,435400,operating,USA,TX,Austin,Austin,1,2002-01-01,2011-07-25,2011-07-25
Mobile,-,operating,CHN,23,Shanghai,Shanghai,2,2011-09-01,2011-07-15,2012-05-01
Mobile,14300000,operating,USA,CA,SF Bay Area,San Ramon,3,2005-06-01,2005-07-01,2008-05-02
Clean Technology,10200000,closed,CHN,19,Shenyang,Shenyang,1,2003-01-01,2011-01-19,2011-01-19
Software,-,operating,JPN,40,Tokyo,Tokyo,1,2012-05-14,2012-07-04,2012-07-04
Analytics,-,operating,USA,CA,SF Bay Area,Milpitas,2,2013-05-01,2013-05-01,2014-01-01
Biotechnology,20000000,operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,1979-01-01,2012-01-11,2012-01-11
Biotechnology,500000,closed,USA,IN,Indianapolis,Indianapolis,1,2008-01-01,2011-01-03,2011-01-03
Advertising,-,operating,USA,CA,SF Bay Area,Mountain View,5,2010-09-10,2011-06-01,2013-05-01
Biotechnology,40000000,ipo,USA,MI,Detroit,Ann Arbor,1,1989-01-01,2012-03-09,2012-03-09
Mobile,4260000,operating,FIN,13,Helsinki,Helsinki,1,2009-01-01,2009-06-03,2009-06-03
Analytics,500000,acquired,USA,WA,Seattle,Vancouver,1,2000-04-02,2010-11-11,2010-11-11
Software,3409315,operating,GBR,H9,London,London,1,1977-01-01,2013-08-01,2013-08-01
Clean Technology,4211031,operating,USA,FL,Miami,Miami,6,2006-01-01,2012-05-10,2014-10-08
Advertising,825000,operating,USA,CA,SF Bay Area,Emeryville,1,2013-01-01,2013-12-25,2013-12-25
Biotechnology,400988,ipo,CAN,BC,Vancouver,Vancouver,3,1997-09-29,2010-11-03,2014-04-07
Software,1770000,acquired,FRA,A8,Neuilly-sur-seine,Neuilly-sur-seine,1,2001-01-01,2005-11-08,2005-11-08
Software,4540000,operating,DEU,1,Stuttgart,Stuttgart,1,1999-01-01,2006-03-09,2006-03-09
Curated Web,4400000,closed,USA,CA,SF Bay Area,Campbell,2,1997-01-01,2006-05-05,2009-05-04
Software,-,operating,USA,AL,AL - Other,Chatom,1,2010-01-15,2014-10-13,2014-10-13
E-Commerce,875000,acquired,USA,CA,SF Bay Area,San Mateo,5,2014-04-01,2013-07-30,2014-07-11
Apps,900000,operating,CYP,5,Cyprus,Limassol,1,2013-12-12,2013-12-12,2013-12-12
Biotechnology,6790000,ipo,USA,IL,Chicago,Des Plaines,2,1991-01-01,2009-03-16,2011-03-15
Advertising,25000,closed,IND,5,Chandigarh,Chandigarh,1,2007-12-05,2007-01-05,2007-01-05
Biotechnology,78799653,operating,GBR,C3,London,Cambridge,2,1998-01-01,2011-06-08,2012-04-27
Biotechnology,2000000,operating,CAN,ON,Toronto,Mississauga,1,2010-01-01,2014-04-28,2014-04-28
Biotechnology,805908,closed,GBR,H9,London,London,1,2001-01-01,2007-09-21,2007-09-21
Biotechnology,10207905,operating,GBR,H9,London,London,4,2010-01-01,2011-05-25,2015-05-18
Curated Web,-,acquired,CAN,BC,Vancouver,Victoria,1,1996-01-01,2003-09-01,2003-09-01
Analytics,-,operating,JPN,40,Tokyo,Tokyo,3,2012-09-10,2013-09-25,2014-12-04
Biotechnology,12850000,operating,USA,OH,Cleveland,Cleveland,3,2013-01-01,2013-12-16,2015-07-28
E-Commerce,19148000,operating,USA,IL,Chicago,Chicago,5,2009-09-01,2010-06-29,2014-02-07
Biotechnology,39610000,operating,USA,CA,SF Bay Area,Los Altos,3,2000-06-01,2012-06-19,2014-08-27
Biotechnology,2250180,operating,USA,NJ,Newark,Princeton,1,2011-01-01,2011-11-18,2011-11-18
Curated Web,21000000,operating,USA,NY,New York City,New York,3,2008-01-01,2013-05-14,2015-06-09
Curated Web,6467283,operating,USA,MA,Boston,Boston,1,2008-01-01,2011-07-12,2011-07-12
Biotechnology,50000,operating,USA,OH,"Columbus, Ohio",Dublin,1,2015-01-01,2015-02-03,2015-02-03
Biotechnology,3986362,operating,CHE,23,Lausanne,Lausanne,1,2010-01-01,2014-10-14,2014-10-14
Biotechnology,42980577,operating,USA,MI,Kalamazoo,Kalamazoo,7,2011-01-01,2012-01-04,2015-11-12
Software,1273000,operating,USA,CA,SF Bay Area,Mountain View,1,2007-01-01,2011-06-29,2011-06-29
Biotechnology,12000000,operating,USA,CA,SF Bay Area,San Francisco,1,2009-01-01,2010-06-04,2010-06-04
Biotechnology,186036236,ipo,BEL,8,BEL - Other,Zwijnaarde,6,2001-01-01,2002-09-25,2014-08-13
Enterprise Software,1000000,operating,USA,TX,TX - Other,Italy,1,1979-01-01,1979-01-01,1979-01-01
Clean Technology,510000000,closed,USA,CO,CO - Other,Loveland,2,2007-01-01,2010-07-06,2010-12-15
Curated Web,17087500,operating,USA,CA,SF Bay Area,San Francisco,3,2013-02-05,2009-12-22,2014-06-10
Analytics,-,operating,USA,OH,"Columbus, Ohio",Columbus,1,2012-01-01,2014-04-20,2014-04-20
Curated Web,7618249,operating,USA,OR,"Portland, Oregon",Portland,3,2006-01-01,2008-11-26,2009-07-16
Software,13600000,operating,USA,CA,SF Bay Area,Redwood City,2,2002-01-01,2004-02-17,2005-06-01
Software,450000,operating,USA,MA,Boston,Lexington,1,2008-07-01,2011-08-16,2011-08-16
Advertising,422000000,operating,BRA,2,Sao Paulo,São Paulo,1,1950-01-01,2006-05-09,2006-05-09
Clean Technology,4500000,operating,USA,OH,Akron - Canton,Wooster,2,2008-01-01,2010-06-24,2013-11-24
Clean Technology,661000,operating,SWE,24,SWE - Other,Härnösand,1,2007-01-01,2010-05-12,2010-05-12
Software,200000,operating,USA,RI,Providence,Providence,1,2012-01-01,2014-05-09,2014-05-09
Biotechnology,1663801.119,operating,GBR,L9,Sheffield,Sheffield,2,2007-01-01,2013-07-18,2015-11-30
E-Commerce,60000,closed,USA,GA,Atlanta,Atlanta,1,2008-01-01,2010-02-23,2010-02-23
E-Commerce,45000,operating,DEU,16,Berlin,Berlin,1,2011-01-01,2014-01-29,2014-01-29
Curated Web,-,operating,KOR,11,Seoul,Seoul,1,2009-11-01,2012-01-01,2012-01-01
Biotechnology,64640151.58,ipo,GBR,H9,London,London,2,2002-01-01,2014-07-07,2015-11-24
Biotechnology,39279460,operating,CHE,23,Lausanne,Lausanne,2,2003-01-01,2005-05-12,2014-01-09
E-Commerce,10000000,ipo,USA,NJ,NJ - Other,Berlin,1,1984-01-01,2009-06-05,2009-06-05
Apps,15000,operating,USA,TN,Nashville,Nashville,1,2012-03-10,2012-05-20,2012-05-20
Software,762000,operating,USA,TN,Nashville,Nashville,1,2012-01-01,2013-03-29,2013-03-29
Biotechnology,33500000,operating,GBR,C3,London,Cambridge,2,2006-01-01,2011-03-31,2013-09-03
Curated Web,11017508,operating,SVN,E1,SVN - Other,Col,1,2011-03-10,2014-12-30,2014-12-30
Advertising,10000000,operating,USA,CA,SF Bay Area,Menlo Park,1,2004-01-01,2009-01-01,2009-01-01
Clean Technology,16424363,operating,GBR,C5,Runcorn,Runcorn,3,2004-08-01,2008-12-03,2011-06-15
E-Commerce,25478613,operating,USA,UT,Salt Lake City,Provo,1,2002-01-01,2014-08-20,2014-08-20
Biotechnology,430000,operating,USA,CA,SF Bay Area,Menlo Park,1,2005-01-01,2009-10-10,2009-10-10
Mobile,3033472,operating,USA,CA,SF Bay Area,Santa Clara,2,2009-01-01,2012-02-01,2013-05-03
Mobile,150000,operating,USA,CA,SF Bay Area,Scotts Valley,1,2009-01-01,2009-12-24,2009-12-24
Software,3255325,operating,USA,OK,Tulsa,Tulsa,2,1997-01-01,2009-11-05,2012-03-28
Analytics,8500000,operating,USA,KS,Kansas City,Overland Park,2,2011-01-01,2012-05-21,2013-10-25
Enterprise Software,4045500,ipo,USA,CA,Los Angeles,Los Angeles,3,2005-01-01,2010-05-10,2014-04-16
Biotechnology,113701127,ipo,USA,MA,Boston,Cambridge,6,2004-01-01,2006-08-02,2011-12-23
Apps,457282,closed,USA,MA,Boston,Cambridge,7,2008-08-01,2008-01-01,2009-12-04
Software,5705841,operating,USA,WA,Seattle,Bellingham,3,2001-01-01,2009-05-15,2013-06-11
Enterprise Software,13410901,operating,USA,CA,SF Bay Area,Palo Alto,2,1999-01-01,2012-01-04,2012-03-09
Software,225000,closed,USA,WA,Seattle,Kirkland,1,2013-01-01,2014-04-29,2014-04-29
Analytics,25000000,operating,USA,CA,SF Bay Area,Santa Clara,2,2007-01-01,2007-10-01,2012-05-01
Software,1560000,operating,IND,2,Hyderabad,Hyderabad,1,2002-01-01,2005-01-25,2005-01-25
Biotechnology,775000,ipo,USA,FL,Tampa,Tampa,2,2002-01-01,2012-02-08,2013-06-25
Curated Web,2000000,operating,IND,10,New Delhi,Gurgaon,1,2007-07-25,2014-08-27,2014-08-27
Software,4500000,acquired,USA,CA,Anaheim,Irvine,2,1997-01-01,2007-09-13,2009-02-27
Software,3020000,operating,USA,OH,"Columbus, Ohio",Columbus,3,2011-01-01,2011-06-01,2013-06-13
Biotechnology,138581610,operating,USA,CO,Denver,Broomfield,5,2001-01-01,2004-09-16,2013-10-25
Mobile,752500,operating,USA,CO,Denver,Denver,3,2010-01-01,2013-06-26,2015-07-10
Advertising,4500000,operating,ROM,23,Iasi,Iasi,1,2008-08-22,2010-01-26,2010-01-26
Biotechnology,250000,operating,USA,WA,Seattle,Shoreline,1,2011-01-01,2011-05-20,2011-05-20
Advertising,24250000,operating,USA,CA,Los Angeles,Los Angeles,3,2003-01-01,2006-11-07,2011-01-05
Enterprise Software,45000000,operating,USA,UT,Salt Lake City,Lindon,2,1987-01-01,2013-03-15,2013-03-15
Advertising,3200000,operating,USA,NY,New York City,New York,2,2008-01-01,2010-04-01,2011-04-01
Clean Technology,4500000,operating,USA,MI,Detroit,Ann Arbor,1,2007-01-01,2015-11-30,2015-11-30
Advertising,5500000,operating,USA,NC,Raleigh,Raleigh,3,1996-06-01,1996-06-01,2005-01-12
Analytics,4979639,operating,USA,PA,Pittsburgh,Wexford,4,2002-01-01,2012-02-29,2014-01-02
Analytics,90000,operating,USA,OH,"Columbus, Ohio",Columbus,2,2012-02-01,2012-06-01,2012-08-07
Biotechnology,35000000,acquired,USA,CA,SF Bay Area,Menlo Park,1,2004-06-01,2007-04-23,2007-04-23
Biotechnology,1200000,operating,USA,MI,Detroit,Ann Arbor,1,2008-01-01,2010-10-21,2010-10-21
Software,5500000,operating,USA,MA,Boston,Boston,1,2008-01-01,2015-04-08,2015-04-08
Enterprise Software,32000000,operating,USA,CA,Los Angeles,Santa Monica,2,1995-01-01,2010-02-04,2013-11-25
Software,3315000,operating,USA,CO,Denver,Denver,1,2000-01-01,2008-07-03,2008-07-03
Biotechnology,6650000,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,2,2001-01-01,2007-06-01,2013-05-21
Biotechnology,12024769,operating,USA,FL,Palm Beaches,Boca Raton,3,2010-01-01,2010-05-27,2013-05-30
Software,650000,operating,USA,FL,Orlando,Lake Mary,1,1992-01-01,2006-12-06,2006-12-06
Biotechnology,110640466,acquired,USA,CA,San Diego,San Diego,9,1996-01-01,2003-05-16,2013-08-30
Mobile,12050000,operating,SWE,26,Stockholm,Stockholm,4,2005-01-01,2008-01-01,2012-06-25
Software,4277507,operating,USA,CO,Denver,Westminster,2,2005-01-01,2011-11-08,2014-04-16
Software,2100000,operating,USA,MA,Boston,Concord,1,1998-01-01,2005-03-07,2005-03-07
Mobile,15000000,operating,IRL,7,Dublin,Dublin,1,1998-01-01,2014-09-24,2014-09-24
Software,25000,operating,USA,FL,Tampa,Tampa,1,1991-01-01,2009-06-30,2009-06-30
Biotechnology,1245092,operating,USA,PA,Pittsburgh,Pittsburgh,3,2006-01-01,2010-05-17,2014-06-20
Advertising,24980307,operating,USA,CA,Los Angeles,El Segundo,6,2007-01-01,2008-08-01,2014-08-08
